tnum	10	20	30
864	1658	2808	4014	5179
866	1665	2832	3117	2746
868	906	1479	2128	2804
870	892	1532	2144	2835
872	910	1531	2135	2763
874	890	1507	2120	2782
876	885	1510	2125	2766
878	894	1515	2169	2772
880	889	1517	2142	2758
882	896	1550	2150	2785
884	879	1513	3091	5212
886	1657	2840	4032	5232
888	1688	2843	4030	5418
890	1693	2812	4026	5057
892	1662	2816	4070	5162
894	1656	2788	3941	5166
896	1661	2830	4019	4185
898	901	1508	2115	2745
900	901	1485	2128	2763
902	887	1502	2159	2774
904	897	1500	2159	2779
906	898	1485	2141	2752
908	892	1497	2168	2791
910	890	1504	2159	2739
912	896	1521	2149	2807
914	891	1525	2139	2818
916	888	1483	2200	2779
918	887	1506	2146	2761
920	914	1513	2146	2969
922	1676	2779	4017	5209
924	1692	2806	4026	5274
926	1760	2944	3994	5106
928	1713	2804	4077	5318
930	1702	2866	4074	5246
932	1702	2872	4094	5205
934	1681	2827	4020	2894
936	916	1555	2150	2781
938	875	1509	2173	2793
940	894	1534	3855	5240
942	1670	2850	4022	5181
944	1693	2841	4098	5214
946	1742	2845	4125	5259
948	1719	2873	4141	5258
950	1670	2785	2133	2772
952	872	1488	3764	5218
954	1659	2875	4026	5321
956	1694	2852	4107	5190
958	1654	2803	3988	5195
960	1671	2790	3938	5141
962	1657	2822	4058	5188
964	1650	2804	4027	5130
966	1683	2826	3576	2779
968	894	1501	2107	2763
970	896	1492	2117	2770
972	891	1498	2148	2754
974	886	1509	2121	3222
976	1644	2826	3972	5140
978	1705	2834	4087	5266
980	1687	2845	4067	5246
982	1691	2835	3975	5168
984	1687	2929	3951	5243
986	1663	2757	3964	5253
988	1701	2896	3533	2811
990	880	1529	2128	2828
992	898	1546	2137	2777
994	907	1505	2097	2734
996	896	1500	2145	2856
998	1409	2885	4060	5304
